fold,local_index,event_id,soh_bin,mileage,n_candidates_mileage,n_neighbors_available
0,70,163,"(0.93, 0.935]",59348.3616,29,5
0,183,370,"(0.93, 0.935]",82659.8784,53,5
0,195,392,"(0.93, 0.935]",32672.640000000003,3,3
0,196,393,"(0.93, 0.935]",32900.419200000004,3,3
0,258,472,"(0.93, 0.935]",69611.9424,68,5
0,834,1379,"(0.93, 0.935]",76061.9904,64,5
0,835,1380,"(0.93, 0.935]",76227.888,63,5
0,836,1382,"(0.93, 0.935]",76663.9104,63,5
0,837,1383,"(0.93, 0.935]",76988.208,63,5
0,838,1384,"(0.93, 0.935]",77190.1152,63,5
0,950,1557,"(0.93, 0.935]",75596.1888,64,5
0,1020,1726,"(0.93, 0.935]",61076.5056,34,5
0,1025,1731,"(0.93, 0.935]",63453.8784,46,5
0,1027,1734,"(0.93, 0.935]",64125.8112,47,5
0,1029,1736,"(0.93, 0.935]",64992.2592,49,5
0,1030,1738,"(0.93, 0.935]",65426.4864,52,5
0,1033,1742,"(0.93, 0.935]",66681.12000000001,59,5
0,1111,1912,"(0.93, 0.935]",74077.66080000001,65,5
0,1119,1921,"(0.93, 0.935]",77650.848,63,5
0,1125,1934,"(0.93, 0.935]",84337.54560000001,52,5
0,1250,2201,"(0.93, 0.935]",68698.7136,66,5
0,1255,2212,"(0.93, 0.935]",74392.56,63,5
0,1256,2213,"(0.93, 0.935]",74665.008,63,5
0,1473,2528,"(0.93, 0.935]",77173.7472,63,5
0,1720,2971,"(0.93, 0.935]",66270.0192,56,5
0,1805,3129,"(0.93, 0.935]",72337.056,62,5
0,1806,3130,"(0.93, 0.935]",72950.064,64,5
0,1888,3346,"(0.93, 0.935]",55559.222400000006,23,5
0,1889,3347,"(0.93, 0.935]",55750.6752,23,5
0,1890,3348,"(0.93, 0.935]",55853.74080000001,23,5
0,1892,3350,"(0.93, 0.935]",56155.44,23,5
0,1895,3353,"(0.93, 0.935]",56783.76,23,5
0,1896,3354,"(0.93, 0.935]",56960.8512,23,5
0,1897,3355,"(0.93, 0.935]",57142.69440000001,24,5
0,1916,3375,"(0.93, 0.935]",63683.136000000006,46,5
0,2552,4465,"(0.93, 0.935]",73646.496,65,5
0,2554,4468,"(0.93, 0.935]",74996.064,64,5
0,2557,4471,"(0.93, 0.935]",76178.88960000001,63,5
0,2558,4473,"(0.93, 0.935]",77477.3472,63,5
0,2780,4971,"(0.93, 0.935]",76501.49760000002,63,5
0,2781,4972,"(0.93, 0.935]",76703.19360000001,63,5
0,2790,4983,"(0.93, 0.935]",80323.1616,56,5
0,2791,4984,"(0.93, 0.935]",80484.94080000001,55,5
0,2794,4987,"(0.93, 0.935]",81361.8432,54,5
0,3093,5514,"(0.93, 0.935]",84081.5712,52,5
0,3410,6044,"(0.93, 0.935]",81334.176,54,5
0,3411,6045,"(0.93, 0.935]",81494.26560000001,54,5
0,3434,6150,"(0.93, 0.935]",32783.6256,3,3
0,3884,6957,"(0.93, 0.935]",86996.02560000001,51,5
0,3886,6959,"(0.93, 0.935]",87510.61439999999,49,5
0,3887,6960,"(0.93, 0.935]",87726.77760000002,49,5
0,3888,6961,"(0.93, 0.935]",88625.01120000001,48,5
0,3889,6962,"(0.93, 0.935]",89014.1472,46,5
0,3894,6993,"(0.93, 0.935]",45460.272,13,5
0,3997,7176,"(0.93, 0.935]",75970.32960000001,64,5
0,3998,7177,"(0.93, 0.935]",76258.61760000001,63,5
0,4007,7190,"(0.93, 0.935]",80186.5152,56,5
0,4008,7191,"(0.93, 0.935]",80530.66560000001,55,5
0,4009,7192,"(0.93, 0.935]",81260.0448,55,5
0,4011,7194,"(0.93, 0.935]",81941.376,53,5
0,4012,7196,"(0.93, 0.935]",82260.6048,53,5
0,4014,7198,"(0.93, 0.935]",82659.3504,53,5
0,4015,7199,"(0.93, 0.935]",82771.92,53,5
0,4016,7200,"(0.93, 0.935]",82938.6624,53,5
0,4017,7201,"(0.93, 0.935]",83060.9472,53,5
0,4354,7746,"(0.93, 0.935]",78855.4272,61,5
0,4355,7747,"(0.93, 0.935]",79567.06560000002,60,5
0,4356,7748,"(0.93, 0.935]",79807.728,59,5
0,4357,7749,"(0.93, 0.935]",80141.1072,56,5
0,4358,7751,"(0.93, 0.935]",80662.56,55,5
0,4375,7779,"(0.93, 0.935]",89984.08320000001,43,5
0,4418,7843,"(0.93, 0.935]",73743.2256,65,5
0,5174,9031,"(0.93, 0.935]",77156.3232,63,5
0,5868,10358,"(0.93, 0.935]",72097.5552,63,5
0,6398,11329,"(0.93, 0.935]",64724.352000000006,48,5
0,6399,11330,"(0.93, 0.935]",64892.6784,49,5
0,6400,11331,"(0.93, 0.935]",65051.184,49,5
0,64,156,"(0.935, 0.94]",57452.208000000006,34,5
0,160,343,"(0.935, 0.94]",72574.2336,85,5
0,186,373,"(0.935, 0.94]",83564.8704,65,5
0,459,756,"(0.935, 0.94]",69510.77760000002,79,5
0,830,1375,"(0.935, 0.94]",74575.56480000001,84,5
0,831,1376,"(0.935, 0.94]",75090.68160000001,84,5
0,833,1378,"(0.935, 0.94]",75749.62560000001,83,5
0,940,1542,"(0.935, 0.94]",69038.7456,79,5
0,951,1560,"(0.935, 0.94]",77190.7488,82,5
0,1026,1732,"(0.935, 0.94]",63714.0768,73,5
0,1028,1735,"(0.935, 0.94]",64409.664,73,5
0,1034,1743,"(0.935, 0.94]",66938.57280000001,78,5
0,1120,1922,"(0.935, 0.94]",77905.0272,81,5
0,1191,2075,"(0.935, 0.94]",69396.3072,79,5
0,1248,2199,"(0.935, 0.94]",67194.65280000001,78,5
0,1251,2208,"(0.935, 0.94]",72552.90239999999,85,5
0,1253,2210,"(0.935, 0.94]",73528.01280000001,85,5
0,1466,2519,"(0.935, 0.94]",75351.6192,84,5
0,1467,2521,"(0.935, 0.94]",75770.3232,83,5
0,1468,2522,"(0.935, 0.94]",75843.7152,83,5
0,1471,2526,"(0.935, 0.94]",76683.6576,82,5
0,1715,2965,"(0.935, 0.94]",62536.5312,64,5
0,1723,2974,"(0.935, 0.94]",67761.72480000001,78,5
0,1891,3349,"(0.935, 0.94]",56019.110400000005,34,5
0,1905,3363,"(0.935, 0.94]",60502.5696,52,5
0,1919,3379,"(0.935, 0.94]",64486.5408,73,5
0,1920,3380,"(0.935, 0.94]",64687.4976,74,5
0,1921,3381,"(0.935, 0.94]",65242.2144,75,5
0,1922,3383,"(0.935, 0.94]",66037.1712,75,5
0,1923,3385,"(0.935, 0.94]",66691.152,77,5
0,2117,3761,"(0.935, 0.94]",40824.0096,6,5
0,2536,4445,"(0.935, 0.94]",64114.7232,73,5
0,2537,4446,"(0.935, 0.94]",64419.9072,73,5
0,2538,4447,"(0.935, 0.94]",64616.006400000006,73,5
0,2539,4448,"(0.935, 0.94]",64926.9984,74,5
0,2540,4449,"(0.935, 0.94]",65656.272,75,5
0,2545,4455,"(0.935, 0.94]",68191.728,78,5
0,2546,4456,"(0.935, 0.94]",68447.5968,78,5
0,2547,4457,"(0.935, 0.94]",68765.55840000001,79,5
0,2553,4466,"(0.935, 0.94]",73982.6208,85,5
0,2555,4469,"(0.935, 0.94]",75302.5152,84,5
0,2556,4470,"(0.935, 0.94]",75891.6576,83,5
0,2559,4474,"(0.935, 0.94]",77794.3584,81,5
0,2560,4475,"(0.935, 0.94]",78341.5776,81,5
0,2777,4966,"(0.935, 0.94]",74069.52960000001,85,5
0,2789,4982,"(0.935, 0.94]",79973.9424,74,5
0,2793,4986,"(0.935, 0.94]",81202.4928,73,5
0,2901,5183,"(0.935, 0.94]",75140.208,84,5
0,3095,5517,"(0.935, 0.94]",85218.3552,60,5
0,3096,5518,"(0.935, 0.94]",85517.62560000001,59,5
0,3393,6023,"(0.935, 0.94]",75856.3872,83,5
